,ROOTNAME,PROPOSID,LINENUM,SUNANGLE,MOONANGL,SUN_ALT,DATE-OBS,EXPTIME,PA_V3,POSTARG1,POSTARG2,FILTER,PATTERN1,LTV1,LTV2,LTM1_1,LTM2_2,PA_APER,VAFACTOR,ORIENTAT,RA_APER,DEC_APER
46,idlk03b5q,15089,03.002,154.473099,147.340103,-32.850552,2019-10-26,502.936462,120.463303,0.33891,0.48481,G102,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,165.154,0.9999956880385,165.154,44.54395627928,-8.958177280544
47,idlk04beq,15089,04.002,154.487213,148.017944,-33.051136,2019-10-26,502.936462,120.463303,0.54235,0.18176,G141,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,165.154,1.000010555272,165.154,44.54392281529,-8.95827313035
48,idlk02jyq,15089,02.002,138.362473,135.018936,-18.306911,2019-09-28,502.936462,116.248703,0.54235,0.18176,G141,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,160.939,1.000071896876,160.939,44.54392249026,-8.958284810888
49,idlk04bfq,15089,04.002,154.488831,148.09166,-33.048813,2019-10-26,502.936462,120.463303,0.33891,0.48481,G141,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,165.154,0.9999955675601,165.154,44.54395627928,-8.958177280544
50,idlk01jrq,15089,01.002,138.311829,134.137512,-18.369558,2019-09-28,502.936462,116.248596,-0.20344,0.30304,G102,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,160.939,1.000071949443,160.939,44.5441095765,-8.958185315992
51,idlk02jzq,15089,02.002,138.367462,135.105728,-40.508362,2019-09-28,502.936462,116.248703,0.33891,0.48481,G141,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,160.939,1.000063505337,160.939,44.54394873255,-8.958186790932
52,idlk02jtq,15089,02.001,138.324936,134.366714,-12.371845,2019-09-28,49.230225,116.248703,0.0,0.0,F160W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,160.939,1.000046891045,160.939,44.54408333333,-8.958283333333
53,idlk04bbq,15089,04.001,154.485565,147.929764,-2.763957,2019-10-26,49.230225,120.463303,0.90219,0.80632,F160W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,165.154,1.000030850529,165.154,44.54378000291,-8.958131043564
54,idlk04bhq,15089,04.002,154.49028,148.165115,-8.516044,2019-10-26,502.936462,120.463303,-0.20344,0.30304,G141,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,165.154,0.9999855040439,165.154,44.544116798,-8.958187486197
55,idlk02jwq,15089,02.002,138.327881,134.418076,5.912353,2019-09-28,502.936462,116.248703,0.0,0.0,G141,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,160.939,1.000034261254,160.939,44.54408333333,-8.958283333333
56,idlk04baq,15089,04.001,154.485107,147.91507,3.122946,2019-10-26,49.230225,120.463303,0.4511,0.40316,F160W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,165.154,1.000032188898,165.154,44.54393166673,-8.958207188835
57,idlk04b9q,15089,04.001,154.484665,147.900391,9.094326,2019-10-26,49.230225,120.463303,0.0,0.0,F160W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,165.154,1.000033181257,165.154,44.54408333333,-8.958283333333
58,idlk01jmq,15089,01.002,138.271469,133.43074,-28.866957,2019-09-28,502.936462,116.248703,0.0,0.0,G102,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,160.939,1.000049684904,160.939,44.54408333333,-8.958283333333
59,idlk03b2q,15089,03.002,154.469818,147.190155,-8.545021,2019-10-26,502.936462,120.463303,0.0,0.0,G102,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,165.154,1.000024989289,165.154,44.54408333333,-8.958283333333
